ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
671868403,COLLEGE WEEKEND: FEAR STREET #32 : COLLEGE WEEKEND,R.L. Stine,1995,Simon Pulse
671550284,STARLIGHT CRYSTAL : STARLIGHT CRYSTAL,Christopher Pike,1996,Simon Pulse
671736825,GIMME A KISS : GIMME A KISS,Christopher Pike,1991,Simon Pulse
671008749,FEAR HALL THE BEGINNING,R.L. Stine,1997,Simon Pulse
671002929,The HIDDEN EVIL FEAR STREET SAGAS 5,R.L. Stine,1997,Simon Pulse
812570758,Species II: A Novel,Yvonne Navarro,1998,Tor Books
812540239,The Mongoose Man,Nicholas Van Pelt,2000,Tor Books
981305607X,True Singapore Ghost Stories : Book 8,Russell Lee,1996,Angsana Books
671019287,The DANCE FINAL FRIENDS 2,Christopher Pike,1998,Simon Pulse
055356403X,The Curse of the Golden Heart (Sweet Valley Twins Super Chiller (Paperback)),Francine Pascal,1994,Sweet Valley
3442421357,Im Eishaus.,Minette Walters,1996,Goldmann
312986343,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,Janet Evanovich,2004,St. Martin's Paperbacks
399137599,Steel Beach,John Varley,1992,Putnam Pub Group
60974494,Lost Tribes and Promised Lands: The Origins of American Racism,Ronald Sanders,1992,Harpercollins
553343211,Synchronicity: The Bridge Between Matter and Mind,F. David Peat,1987,Bantam Books
809255324,Physics for Poets,Robert H. March,1983,McGraw-Hill/Contemporary
922233209,Raw Deal: Horrible and Ironic Stories of Forgotten Americans,Ken Smith,1998,Blast Books
086316160X,Foucault for Beginners (Writers and Readers Documentary Comic Books: 62),Lydia Alix Fillingham,1994,Writers &amp; Readers Publishing
553078682,Food of the Gods: The Search for the Original Tree of Knowledge,Terence McKenna,1992,Bantam Dell Pub Group
62504096,We'Ve Had a Hundred Years of Psychotherapy and the World's Getting Worse,James Hillman,1992,Harpercollins
155019872,A Guide to Literary Criticism and Research,Stevens,1996,Harcourt
679413065,The Secret Sun: A Novel of Japan,Fred Hiatt,1992,Random House Inc
425125467,Harmful Intent,Robin Cook,2001,Berkley Publishing Group
158322601X,The Oh Really? Factor : Unspinning Fox News Channel's Bill O'Reilly,Peter Hart,2003,Seven Stories Press
385495358,I Rant Therefore I Am,Dennis Miller,2000,Doubleday Books
1555835589,Revolutionary Voices,Amy Sonnie,2000,Alyson Publications
1585972622,Spiderbreath,Norence A. Nelson,2004,Leathers Publishing
446530077,Find Me,Rosie O'Donnell,2002,Warner Books
689856083,Apolo Anton Ohno: My Story,Apolo  Anton Ohno,2002,Simon &amp; Schuster Children's Publishing
802151574,Querelle,Jean Genet,1989,Grove Press
812992180,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,2002,Villard Books
385729472,Secret Heart,DAVID ALMOND,2002,Delacorte Books for Young Readers
373227728,Double Take (Harlequin Intrigue Series),Leigh Riker,2004,Harlequin
373227736,Mask of A Hunter (Harlequin Intrigue Series),Sylvie Kurtz,2004,Harlequin
037322771X,Just Before Dawn (Harlequin Intrigue Series),Joanna Wayne,2004,Harlequin
373227744,Out for Justice (Harlequin Intrigue Series),Susan Kearney,2004,Harlequin
373712049,Whose Child? (Harlequin Superromance),Susan Gable,2004,Harlequin
373712006,Silent Witness (Harlequin Superromance),Kay David,2004,Harlequin
373712014,Return to Little Hills (Harlequin Superromance),Janice Macdonald,2004,Harlequin
373712057,Two On the Run (Harlequin Superromance),Margaret Watson,2004,Harlequin
451409434,Fantastic Voyage: Microcosm,Kevin Anderson,2001,Onyx Books
875427332,A Witch's Guide to Faery Folk: Reclaiming Our Working Relationship With Invisible Helpers (Llewellyn's New Age Series),Edain McCoy,1994,Llewellyn Publications
738704458,Witchy Tarot,Laura Tuan,2003,Llewellyn Espanol
312951914,Linda Goodman's Star Signs,Linda Goodman,1988,St. Martin's Press
878577386,Flowers (Rodale's home gardening library),Anne M. Halpin,1988,St Martins Pr
843922567,Creature,Drake Douglas,1985,Banner of Truth
1592231381,The Tarot Set,Jane Lyle,2003,Thunder Bay Press (CA)
517182467,John Saul: Three Terrifying Bestselling Novels,John Saul,1996,Random House Value Pub
055357485X,Children's Past Lives: How Past Life Memories Affect Your Child,Carol Bowman,1998,Bantam Books
875421245,The Magical Household: Spells &amp; Rituals for the Home (Llewellyn's Practical Magick Series),Scott Cunningham,1987,Llewellyn Publications
671670875,Tarot Made Easy,Nancy Garen,1989,Fireside
875420508,Buckland's Complete Book of Witchcraft (Llewellyn's Practical Magick),Raymond Buckland,1986,Llewellyn Publications
801043859,When the One You Love Wants to Leave,Donald R. Harvey,1993,Baker Books
451178599,Needful Things,Stephen King,1993,New Amer Library
1555472419,Just Before Daybreak,Audrey Couloumbis,1988,Critics Choice Paperbacks/Lorevan Publishing
671421611,CHILDGRAVE,Ken Greenhall,1982,Pocket
380780216,Cry for Justice,Walter Sorrells,1996,Harper Mass Market Paperbacks (Mm)
1590030044,White Magic Book,John Le Breton,2001,Red Wheel
451128370,Christine,Stephen King,1983,Penguin Putnam~mass
451170385,Four Past Midnight,Stephen King,2001,Signet Book
451206339,Forgive the Moon,Maryanne Stahl,2002,New American Library
395926882,The Best American Short Stories 2001,Katrina Kenison,2001,Mariner Books
446527297,The Millionaires,Brad Meltzer,2002,Warner Books
786867906,Strip City: A Stripper's Farewell Journey Across America,Lily Burana,2001,Miramax
425151875,Tom Clancy's Op-Center: Games of State (Tom Clancy's Op Center (Paperback)),Tom Clancy,1996,Berkley Publishing Group
553570854,Till Death Do Us Part,Lurlene McDaniel,1997,Starfire
055357115X,Until Angels Close My Eyes,Lurlene McDaniel,1998,Starfire
373218958,Less Of A Stranger (Silhouette Single Title),Nora Roberts,2003,Silhouette
3442356180,Shogun.,James Clavell,2002,Goldmann
671684256,Cold Harbour,Jack Higgins,1990,Simon &amp; Schuster
425182843,Edge of Danger,Jack Higgins,2002,Berkley Publishing Group
486406539,Siddhartha (Dover Thrift Editions),Hermann Hesse,1999,Dover Publications
590440144,Swiss Family Robinson (Apple Classic),Johann Wyss,1995,Scholastic
812550749,Firebird,Mercedes Lackey,1997,Tor Books
553148524,Zen and the art of motorcycle maintenance,Robert M. Pirsig,1980,Bantam
802111610,First Light,Peter Ackroyd,1989,Pub Group West
670031720,Drop City,T. Coraghessan Boyle,2003,Viking Books
385128533,Goodbye California,Alistair MacLean,1978,Bantam Dell Pub Group
679405127,Angels &amp; Insects: Two Novellas,A. S. Byatt,1993,Random House Inc
679742115,Vox: A Novel,Nicholson Baker,1995,Vintage Books USA
316954993,War and Remembrance,Herman Wouk,2002,Back Bay Books
345463153,The Fourth Hand,JOHN IRVING,2003,Fawcett
188522317X,Bumper Sticker Wisdom: America's Pulpit Above the Tailpipe,Carol Gardner,1995,Beyond Words Publishing
312991460,To the Nines (A Stephanie Plum Novel),Janet Evanovich,2004,St. Martin's Paperbacks
142001325,Our Lady of the Lost and Found: A Novel,Diane Schoemperlen,2002,Penguin Books
1565123670,A Parchment of Leaves: A Novel,Silas House,2002,Algonquin Books of Chapel Hill
385501412,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Doubleday
553277901,Woman of Substance,Barbara Taylor Bradford,1987,Bantam Books
684862921,Ringing For You : A Love Story with Interruptions,Anouchka Grose Forrester,1999,Scribner
60956690,So Big (Perennial Classics),Edna Ferber,2000,Perennial
451182960,Too Many Crooks Spoil the Broth: A Pennsylvania-Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback)),Tamar Myers,1995,Signet Book
449002985,Your Oasis on Flame Lake (Ballantine Reader's Circle),LORNA LANDVIK,1998,Ballantine Books
037348254X,To Mother With Love 1993,Diana Palmer,1993,Silhouette
865473900,Rosie,Anne Lamott,1989,North Point Press
395859972,The Blue Flower,Penelope Fitzgerald,1997,Mariner Books
671727583,Smart Women,Judy Blume,1990,Pocket Books
28604695,Frommer's Walking Tours: Paris (2nd Edition),Lisa Legarde,1995,John Wiley &amp; Sons Inc
60176156,Up Island,Anne Rivers Siddons,1997,HarperCollins Publishers
893754005,Heidi,Johanna Spyri,1993,Troll Communications
671600400,PORTRAT OF ARTIST,Laura Lisle,1985,Pocket
440212561,Outlander,DIANA GABALDON,1992,Dell
517799952,Simple Spells for Love: Ancient Practices for Emotional Fulfillment,Barrie Dolnick,1995,Harmony Books
140267670,Life Among the Savages,Shirley Jackson,1997,Penguin Books
394544749,The Sophisticated traveler: Great tours and detours,A. M. Rosenthal,1985,Villard Books
785282149,Driving Lessons,William Kritlow,1994,Thomas Nelson Inc
505523183,The Night Before Christmas,Victoria Alexander,1998,Love Spell
821769278,Plain Jane,Fern Michaels,2002,Zebra Books
380815257,A Belated Bride,Karen Hawkins,2001,Avon
486264645,Heart of Darkness (Dover Thrift Editions),Joseph Conrad,1990,Dover Publications
451402065,Earth Song,Catherine Coulter,1990,Onyx Books
515133302,Hemlock Bay,Catherine Coulter,2002,Jove Books
451406907,Surrender (Florida Civil War (Paperback)),Heather Graham,1998,Topaz
1551668432,Texas Ranger,Diana Palmer,2001,Mira
821767852,Yesterday,Fern Michaels,2001,Zebra Books
1552450244,Piccolo Mondo,Angela May Bowering,1998,Coach House
771014910,Deadly Appearances (Joanne Kilbourn Mysteries (Paperback)),GAIL BOWEN,2000,McClelland &amp; Stewart
771014899,Verdict in Blood (Joanne Kilbourn Mysteries (Paperback)),GAIL BOWEN,1999,McClelland &amp; Stewart
684186373,Harnessing Peacocks,Mary Wesley,1986,Simon &amp; Schuster
62514377,Meditations for Women Who Do Too Much,Anne Wilson Schaef,1996,HarperSanFrancisco
8432215333,El Perfume: Historia De UN Asesino,Patrick Suskind,1998,Editorial Seix Barral
8427027516,Loca De Amor,C. Hermary-Vieille,2003,Editorial Planeta
970116500,Expect a Miracle: You Won't Be Disappointed,Tel Franklin,2002,Ten Speed Press
684804018,DIVIDED LIVES,Elsa Walsh,1995,Simon &amp; Schuster
1592861512,Journey,Robert Amoroso,2003,Publishamerica
345421884,Dragonshadow,Barbara Hambly,2000,Del Rey Books
684801051,TIME AND AGAIN,Jack Finney,1995,Touchstone
039914840X,Three Fates,Nora Roberts,2002,Putnam Publishing Group
679426094,Entries: Poems,Wendell Berry,1994,Random House Inc
345410130,Dear James,Jon Hassler,1995,Ballantine Books
787947350,Let Your Life Speak: Listening for the Voice of Vocation,Parker J.  Palmer,1999,Jossey-Bass
818403802,Getting straight A's,Gordon W Green,1985,L. Stuart
684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner
671733346,CINDERELLA COMPLEX,Colette Dowling,1990,Pocket
736605673,Animal Farm,George Orwell,1981,Books on Tape
446532452,The Wedding,Nicholas Sparks,2003,Warner Books
1570629706,Siddhartha,Hermann Hesse,2002,Shambhala
393322440,The Blunderer,Patricia Highsmith,2001,W.W. Norton &amp; Company
140449124,Madame Bovary,Gustave Flaubert,2003,Penguin Books
99274167,Misconceptions,Naomi Wolf,2002,Vintage
749391723,Lives of the Saints,Nino Ricci,1991,Minerva
836217152,Guess Who Didn't Take A Nap? (Baby Blues Collection),Rick Kirkman,1993,Andrews McMeel Publishing
375421114,Video: Stories,MEERA NAIR,2002,Pantheon
446520659,The Lion's Game,Nelson DeMille,2000,Warner Books
553071807,This Day All Gods Die: The Gap into Ruin (Gap Series/Stephen R. Donaldson),Stephen R. Donaldson,1996,Bantam
60167033,The Sweet Hereafter: A Novel,Russell Banks,1991,Harpercollins
61091561,L.A. Times,Stuart Woods,1994,HarperTorch
60191872,The Run: A Novel,Stuart Woods,2000,HarperCollins Publishers
61030996,Hit List,Lawrence Block,2002,HarperTorch
140430148,The Moonstone (Penguin Classics),Wilkie Collins,1966,Penguin Books
067318160X,Short English handbook,David E Fear,1986,Scott
20198817,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald,1992,Scribner Paper Fiction
140001409,Cold Comfort Farm,Stella Gibbons,1977,Penguin USA
385323964,Maximum Bob,Elmore Leonard,1998,Dell Publishing Company
1881066703,New York City Restaurants 3 Ed,Andre Gayot,2001,Gayot
1853265535,Washington Square (Classics Library (NTC)),Henry James,1998,NTC/Contemporary Publishing Company
345448359,Darwin's Children,GREG BEAR,2003,Del Rey
446527084,Fallen Dragon,Peter F. Hamilton,2002,Aspect
743444965,Blood Music,Greg Bear,2002,I Books
752816500,Axiomatic,Greg Egan,1995,Acacia Press
61059048,Vacuum Diagrams,Stephen Baxter,2001,Eos
671656473,MAROONED REALTIME,Vernor Vinge,1987,Baen
812520475,Eon : A Novel (Eon),Greg Bear,1991,Tor Science Fiction
743421922,Look to Windward,Iain M. Banks,2002,Star Trek
425173534,Ssn,Tom Clancy,2000,Berkley Publishing Group
042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group
425108937,Flight of the Old Dog,Dale Brown,1993,Berkley Publishing Group
451457781,Treachery and Treason,Laura Anne Gilman,2000,Roc
1576734013,Mixed Signals (Alabaster Books),Liz Curtis Higgs,1999,Multnomah
451203267,The Stranger Beside Me,Ann Rule,2001,Signet Book
312140908,The Invisible Circus : A Novel,Jennifer Egan,1996,Picador
394571770,Butterfly,Kathryn Harvey,1991,Book Sales
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
345432401,Omerta,Mario Puzo,2001,Ballantine Books
380779323,When Dinosaurs Ruled the Basement (An Avon Camelot Book),William L. Deandrea,1995,Harpercollins Juvenile Books
64401502,Mrs. Piggle-Wiggle's Farm,Betty MacDonald,1985,HarperTrophy
671876570,The Ship Who Won,Anne McCaffrey,1995,Baen
671798782,DIANA: HER TRUE STORY : DIANA: HER TRUE STORY,Andrew Morton,1992,Pocket
886191718,Daughters of Captain Cook (International fiction list),Linda Spalding,1989,Carol Pub Group
373764723,Expecting...And In Danger  (Dynasties:The Connellys),Eileen Wilks,2002,Silhouette
373764685,The Royal Treatment  (Crown And Glory),Maureen Child,2002,Silhouette
373764677,The Seal's Surprise Baby,Amy J. Fetzer,2002,Silhouette
038071471X,Beyond the Stars,David William Ross,1991,Harper Mass Market Paperbacks
373764766,Do You Take This Enemy  (Stallion Pass),Sara Orwig,2002,Silhouette
61061433,Year's Best SF 7,David G. Hartwell,2002,Eos
312020317,All Things Wise and Wonderful,James Herriot,1977,St. Martin's Press
671823884,Good As Gold,Joseph Heller,1979,Pocket Books
60973617,Up the Down Staircase,Bel Kaufman,1991,Perennial
141301236,A Place in the Sun,Jill Rubalcaba,1998,Puffin Books
771014236,The Death of Tecumseh (Adventures in Canadian History : the Battles of the War of 1812),Pierre Berton,1995,McClelland &amp; Stewart
1576104176,Access 2000 Client/Server Solutions: The In-depth Guide to Developing Access Client/Server Systems,Lars Klander,1999,Coriolis Group Books
525458638,The Shakespeare Stealer,Gary L. Blackwood,1998,Dutton Books
782124526,Mastering ColdFusion 4,Arman Danesh,1999,Sybex Inc
671726528,Kon-Tiki: Across the Pacific by Raft,Thor Heyerdahl,1990,Pocket
553208659,Fair Blows the Wind,Louis L'Amour,1982,Bantam Books
553247662,Westward the Tide,LOUIS L'AMOUR,1984,Bantam
307220060,The Ghost of Eagle Mountain (Girl Talk),L. E. Blair,1990,Golden Books
037570342X,Family Matters,ROHINTON MISTRY,2003,Vintage
452283027,Farm Fatale: A Comedy of Country Manors,Wendy Holden,2002,Plume Books
1400045029,Cooking for Harry : A Low-Carbohydrate Novel,KAY-MARIE JAMES,2004,Crown Publishing Group
1400052157,Idyll Banter : Weekly Excursions to a Very Small Town,CHRIS BOHJALIAN,2003,Harmony
374174075,I Sailed with Magellan,Stuart Dybek,2003,Farrar
688102255,Rumor Has It,Charles Dickinson,1991,Harpercollins
704340070,Three Ply Yarn,Caeia March,1992,Women's Press
440132118,As On A Darkling Plain,Bova Ben,1978,Dell Publishing Co.
60916125,The True Believer: Thoughts on the Nature of Mass Movements,Eric Hoffer,1989,Perennial (HarperCollins)
140274383,About Yvonne,Donna Masini,1998,Penguin Books
883910349,Og Mandino's Great Trilogy: The Greatest Salesman in the World/the Greatest Secret in the World/the Greatest Miracle in the World,Og Mandino,2001,Frederick Fell Publishers
380001012,Foundation Trilogy,Isaac Asimov,1981,Harpercollins
1857033701,Getting into Films &amp; Television: How to Find the Best Way in (Jobs &amp; Careers),Robert Angell,1997,Trans-Atlantic Publications
330303287,Gsilent People,Walter Macken,1965,Pan Books Ltd
330303279,Seek the Fair Land,Walter Macken,1962,Britain Books
786884274,Don't Call That Man,Rhonda Findling,1999,Hyperion
749308583,The Positive Way to Change Your Life,Norman Vincent Peale,1994,Vintage/Ebury (A Division of Random House Group)
749429003,Know Yourself: Achieve Your Goals Through Better Self-Knowledge,Ellen Balke,1999,Kogan Page
3518392387,Wilde Schafsjagd.,Haruki Murakami,1997,Suhrkamp
970897251,One Foot in Eden: A Novel,Ron Rash,2002,Novello Festival Press
316089737,Captain Saturday: A Novel,Robert Inman,2003,Back Bay Books
1589199669,A Place Called Wiregrass,Michael Morris,2002,RiverOak Publishing
385494327,Black Dogs,Ian McEwan,1999,Anchor Books/Doubleday
1566492017,Appointment with Il Duce,Hozy Rossi,2001,Welcome Rain
802117155,Wish You Were Here,Stewart O'Nan,2002,Grove Press
60159081,Oscar and Lucinda,Peter Carey,1988,HarperCollins Publishers
080326089X,The Wild Bunch at Robbers Roost,Pearl Baker,1989,University of Nebraska Press
446607258,Mythology : Timeless Tales of Gods and Heroes,Edith Hamilton,1999,Warner Books
374138591,The Devil's Larder,Jim Crace,2001,Farrar
375726225,Burning Marguerite,Elizabeth Inness-Brown,2003,Vintage Books USA
316184152,Final Harvest : Poems,Emily Dickinson,1964,Back Bay Books
1555661874,The Nearby Faraway: A Personal Journey Through the Heart of the West,David Petersen,1997,Johnson Books
312313195,Sons of Fortune (Ay Adult - Archer),Jeffrey Archer,2003,St. Martin's Press
068817776X,The Nazi Officer's Wife : How One Jewish Woman Survived the Holocaust,Edith H. Beer,2000,Perennial
375760903,The Coffee Trader : A Novel (Ballantine Reader's Circle),DAVID LISS,2004,Ballantine Books
385721838,The True Sources of the Nile,Sarah Stone,2003,Anchor Books/Doubleday
743234359,American Jihad: The Terrorists Living Among Us,Steven Emerson,2003,Free Press
142001104,The Art of Possibility: Transforming Professional and Personal Life,Rosamund Stone Zander,2002,Penguin Books
